state,place_name,fips_place,total_units,sf_1unit_units,duplex_units,mf_3plus_units
ME,Robbinston town,63275,2,2,0,0
ME,Rockland,63590,70,12,0,58
ME,Rockport town,63660,6,6,0,0
ME,Rome town,63835,8,8,0,0
ME,Roque Bluffs town,63940,5,5,0,0
ME,Roxbury town,64185,2,2,0,0
ME,Rumford town,64290,20,10,2,8
ME,Sabattus town,64570,43,24,4,15
ME,Saco,64675,76,62,0,14
ME,St. Agatha town,64780,3,3,0,0
ME,Sanford,00000,111,70,2,39
ME,Scarborough town,66145,284,56,0,228
ME,Searsmont town,66565,12,12,0,0
ME,Searsport town,66635,26,26,0,0
ME,Sebago town,66775,20,20,0,0
ME,Shapleigh town,67475,14,14,0,0
ME,Shirley town,68140,2,2,0,0
ME,Sidney town,68385,30,30,0,0
ME,Smithfield town,69155,6,6,0,0
ME,Smyrna town,69260,2,2,0,0
ME,Solon town,69505,3,3,0,0
ME,Somerville town,69645,1,1,0,0
ME,South Berwick town,70030,58,29,14,15
ME,South Portland,71990,33,22,8,3
ME,South Thomaston town,72585,3,3,0,0
ME,Southport town,71955,6,6,0,0
ME,Southwest Harbor town,72865,27,25,2,0
ME,Springfield town,73250,22,22,0,0
ME,St. Francis town,65025,0,0,0,0
ME,St. Albans town,64850,19,19,0,0
ME,St. George town,65130,10,10,0,0
ME,Stacyville town,73600,0,0,0,0
ME,Standish town,73670,38,38,0,0
ME,Starks town,73845,6,6,0,0
ME,Stetson town,74055,9,7,2,0
ME,Steuben town,74125,21,21,0,0
ME,Stockton Springs town,74475,2,2,0,0
ME,Stoneham town,74510,4,4,0,0
ME,Stonington town,74580,5,5,0,0
ME,Stow town,74685,3,3,0,0
ME,Sullivan town,74965,8,8,0,0
ME,Surry town,75280,13,13,0,0
ME,Swanville town,75525,11,11,0,0
ME,Sweden town,75595,4,4,0,0
ME,Temple town,75980,2,2,0,0
ME,Thomaston town,76365,9,9,0,0
ME,Thorndike town,76610,1,1,0,0
ME,Topsham town,76960,72,32,2,38
ME,Tremont town,77345,11,11,0,0
ME,Trenton town,77415,11,11,0,0
ME,Troy town,77625,6,6,0,0
ME,Turner town,77800,36,32,4,0
ME,Union town,78115,15,15,0,0
ME,Unity town,78255,4,4,0,0
ME,Upton town,78465,0,0,0,0
ME,Van Buren town,78570,0,0,0,0
ME,Vassalboro town,78745,14,14,0,0
ME,Veazie town,78780,9,9,0,0
ME,Verona Island town,78925,1,1,0,0
ME,Vienna town,79025,6,6,0,0
ME,Vinalhaven town,79130,0,0,0,0
ME,Wade town,79270,0,0,0,0
ME,Waldo town,79480,11,11,0,0
ME,Waldoboro town,79550,21,21,0,0
ME,Wales town,79585,2,2,0,0
ME,Wallagrass town,79865,0,0,0,0
ME,Waltham town,80040,0,0,0,0
ME,Warren town,80215,5,5,0,0
ME,Washburn town,80285,0,0,0,0
ME,Washington town,80425,0,0,0,0
ME,Waterboro town,80530,38,38,0,0
ME,Waterford town,80635,4,4,0,0
ME,Waterville,80740,9,9,0,0
ME,Wayne town,80880,11,11,0,0
ME,Weld town,81300,9,9,0,0
ME,Wellington town,81405,2,2,0,0
ME,Wells town,81475,124,124,0,0
ME,West Bath town,81930,10,10,0,0
ME,Westbrook,82105,93,34,42,17
ME,Westfield town,82770,0,0,0,0
ME,Westmanland town,83540,1,1,0,0
ME,Westport Island town,84140,2,2,0,0
ME,Whiting town,85185,8,8,0,0
ME,Whitneyville town,85290,2,2,0,0
ME,Willimantic town,85710,0,0,0,0
ME,Wilton town,85850,10,10,0,0
ME,Windham town,86025,106,37,18,51
ME,Windsor town,86165,12,12,0,0
ME,Winn town,86305,0,0,0,0
ME,Winslow town,86515,16,16,0,0
ME,Winter Harbor town,86655,1,1,0,0
ME,Winthrop town,86970,18,14,4,0
ME,Wiscasset town,87075,17,17,0,0
ME,Woodland town,87215,0,0,0,0
ME,Woodstock town,87355,9,9,0,0
ME,Woodville town,87390,0,0,0,0
ME,Woolwich town,87460,24,24,0,0
ME,Yarmouth town,87845,3,3,0,0
ME,York town,87985,104,104,0,0
MA,Abington town,00170,2,2,0,0
MA,Acton town,00380,151,1,0,150
MA,Acushnet town,00520,2,2,0,0
MA,Adams town,00555,0,0,0,0
MA,Agawam Town,00765,27,9,18,0
MA,Alford town,00975,1,1,0,0
MA,Amesbury,01185,5,5,0,0
MA,Amherst Town,01325,26,4,0,22
MA,Andover town,01465,12,12,0,0
MA,Arlington town,01605,16,16,0,0
MA,Ashburnham town,01885,14,14,0,0
MA,Ashby town,01955,3,3,0,0
MA,Ashfield town,02095,3,3,0,0
MA,Ashland town,02130,1,1,0,0
MA,Athol town,02480,20,20,0,0
MA,Attleboro,02690,43,39,4,0
MA,Auburn town,02760,16,16,0,0
MA,Avon town,02935,42,0,0,42
MA,Ayer town,03005,19,13,6,0
MA,Barnstable Town,03690,193,34,12,147
MA,Barre town,03740,8,8,0,0
MA,Becket town,04545,5,5,0,0
MA,Bedford town,04615,17,17,0,0
MA,Belchertown town,04825,54,52,2,0
MA,Bellingham town,04930,75,75,0,0
MA,Belmont town,05070,3,3,0,0
MA,Berkley town,05280,10,10,0,0
MA,Berlin town,05490,3,3,0,0
MA,Bernardston town,05560,2,2,0,0
MA,Beverly,05595,74,15,0,59
MA,Billerica town,05805,28,24,4,0
MA,Blackstone town,06015,21,21,0,0
MA,Blandford town,06085,2,2,0,0
MA,Bolton town,06365,240,11,0,229
MA,Boston,07000,1789,72,26,1691
MA,Bourne town,07175,22,4,0,18
MA,Boxborough town,07350,0,0,0,0
MA,Boxford town,07420,65,65,0,0
MA,Boylston town,07525,18,8,10,0
